<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
NCB,20151001,54,54,52.75,53.06,353094
NCB,20150930,53.25,54,53,53.95,302453
NCB,20150929,52,53,51.75,52.5,425139
NCB,20150921,53.25,53.5,52.5,53.36,457729
NCB,20150920,52.75,53.75,51.75,52.81,580814
NCB,20150917,55,55,53.5,53.66,441861
NCB,20150916,55.5,56,54.5,54.77,319679
NCB,20150915,54.5,55.5,54.5,55.26,233321
NCB,20150914,55.5,55.75,54.25,54.79,757972
NCB,20150913,56.25,57,55.5,55.71,739405
NCB,20150910,56.25,56.75,55.5,56.42,770031
NCB,20150909,56,57.5,56,56.96,841189
NCB,20150908,54.5,55.5,54.25,55.26,740282
NCB,20150907,54.75,55.5,54.25,54.71,1065510
NCB,20150906,53.5,55.5,53.5,54.5,519339
NCB,20150903,54.25,54.5,53.5,54.11,362368
NCB,20150902,53.25,53.75,52.25,53.42,2270747
NCB,20150901,55.5,55.75,54,54.54,683009
NCB,20150831,56,56.5,54.5,55.03,668628
NCB,20150830,57.75,58.75,56.75,57.03,938990
NCB,20150827,57,58,55.5,56.16,1109922
NCB,20150826,54,55.75,53,54.57,1394385
NCB,20150825,49.7,54,49.7,54,2189543
NCB,20150824,53.5,54.5,48.8,49.15,2725496
NCB,20150823,55.5,57,53,53.3,2181148
NCB,20150820,57,58.75,55.5,57.58,1417075
NCB,20150819,57.5,59,57,57.46,1032512
NCB,20150818,59.25,59.25,57,58.38,1082005
NCB,20150817,58.75,59.5,57.5,59.26,658772
NCB,20150816,60.5,61,59,59.27,511677
NCB,20150813,61.25,61.5,60.75,60.82,197527
NCB,20150812,61,61.25,60.25,61.11,556690
NCB,20150811,62.5,62.5,61.5,61.5,182907
NCB,20150810,61,62.25,61,62.06,319908
NCB,20150809,60.5,61.25,60.25,61.12,243093
NCB,20150806,61,61.25,60.5,60.88,603621
NCB,20150805,62.5,62.75,61,61.53,1174701
NCB,20150804,63.5,64,62,62.58,661104
NCB,20150803,63.5,63.75,63.25,63.57,367619
NCB,20150802,64.5,64.5,63.25,63.54,348292
NCB,20150730,63.75,65,63.75,64.82,311601
NCB,20150729,63.75,64.25,63.5,63.75,364851
NCB,20150728,63.25,64,62.75,63.79,322550
NCB,20150727,64.5,64.5,63,63.27,491062
NCB,20150726,65.5,65.75,64.5,64.85,388968
NCB,20150723,65.25,66,65.25,65.96,356674
NCB,20150722,65.25,65.75,65.25,65.34,188342
NCB,20150715,65,65.5,64.75,65.29,225620
NCB,20150714,65,65.5,64,65,632430
NCB,20150713,65.5,66,64.5,65.13,583006
NCB,20150712,65.25,67,65,65.42,920090
NCB,20150709,63.5,67.75,63.25,66.6,4159932
NCB,20150708,64,64.75,63.25,63.57,930776
NCB,20150707,65,65.25,63.75,64.49,1086733
NCB,20150706,64.75,65.5,64.5,65.21,678007
NCB,20150705,65,66,64.5,65.77,728940
NCB,20150702,63.75,66,63.5,65.71,1222120
NCB,20150701,62.5,64,62,64,931192
NCB,20150630,61.75,62.75,61,62.46,761694
NCB,20150629,63,63,61.75,62.12,322835
NCB,20150628,64.25,64.25,62.75,63.07,643233
NCB,20150625,64,65,63.75,64.77,545936
NCB,20150624,63.5,64.25,63.25,64.07,504932
NCB,20150623,62.75,64.25,62.75,63.4,859453
NCB,20150622,62.75,63.25,62.25,62.63,1376768
NCB,20150621,64.75,65,62.75,63,1141654
NCB,20150618,65.25,65.25,64.75,65.03,692826
NCB,20150617,65.75,66,64.75,65.31,635647
NCB,20150616,66.25,66.25,65.5,65.76,321835
NCB,20150615,67.5,67.5,66,66.26,851819
NCB,20150614,66.25,67,66.25,66.99,347637
NCB,20150611,66.25,66.5,65.75,66.23,200347
NCB,20150610,66.25,66.75,66.25,66.35,409829
NCB,20150609,65.75,66.5,65.75,66.24,614818
NCB,20150608,66,66.25,65,66.18,561163
NCB,20150607,66.25,67,65.75,66.02,486712
NCB,20150604,67.25,67.5,66.75,66.85,412833
NCB,20150603,67.25,68.5,67.25,67.43,499216
NCB,20150602,66.75,67.5,66.75,67.49,371123
NCB,20150601,67,67,66.25,66.8,383413
NCB,20150531,67,67.75,66.75,67.01,819334
NCB,20150528,68,68.25,66.25,67.02,958912
NCB,20150527,68.75,69,67.75,68.08,1136480
NCB,20150526,68.5,69,68.5,68.86,351925
NCB,20150525,69,69,68.5,68.91,321987
NCB,20150524,68.75,69,68.5,68.77,387052
NCB,20150521,69,69.25,68.5,69.02,519945
NCB,20150520,69,69.5,68.75,69.31,394396
NCB,20150519,69,69.25,68.75,69.19,526385
NCB,20150518,69.5,69.75,69,69.01,707334
NCB,20150517,70,70.5,69.25,69.6,1008925
NCB,20150514,68.75,71.25,68.75,69.82,2320252
NCB,20150513,68.75,69,68,68.75,412150
NCB,20150512,68.25,68.75,68,68.74,279194
NCB,20150511,68.75,69.5,68.25,68.48,636508
NCB,20150510,69.25,69.5,68.75,69.15,387210
NCB,20150507,69.25,69.5,68.75,69.23,954415
NCB,20150506,68.5,69.75,68.5,69.44,744989
NCB,20150505,69.5,70,68.5,68.85,1010743
NCB,20150504,70,70,69,69.61,864243
NCB,20150503,70.75,71.5,69.75,69.99,1030986
NCB,20150430,71.75,72.5,70.5,70.63,1855556
NCB,20150429,70,72.75,68.75,71.84,4345320
NCB,20150428,68.75,69.75,68.5,69.24,1351043
NCB,20150427,68.75,69,68.5,68.93,1653855
NCB,20150426,68,69.25,68,68.76,1320685
NCB,20150423,67.5,68.5,67.5,68.25,1094604
NCB,20150422,69.25,69.75,67,67.72,3352626
NCB,20150421,67.75,69.5,67.5,68.76,2382955
NCB,20150420,68.25,68.5,67.5,68.01,2628003
NCB,20150419,68,70,67.75,68.33,4912394
NCB,20150416,65,67,64.75,66.26,4232797
NCB,20150415,65,65,64.25,64.77,2292153
NCB,20150414,63,64.25,63,63.3,1165109
NCB,20150413,62.5,64,62.25,63.43,1543564
NCB,20150412,62.75,64.5,62.25,62.46,1382538
NCB,20150409,60,63.5,59.75,62.75,1880843
NCB,20150408,61,61.25,60.5,60.63,938707
NCB,20150407,60.25,60.75,59.75,60.53,1200437
NCB,20150406,60.25,60.25,58.75,59.9,1317198
NCB,20150405,60.25,60.75,59.25,59.79,1036753
NCB,20150402,62,62.5,60.25,60.51,767759
NCB,20150401,61,62.25,61,61.45,735881
NCB,20150331,63.5,63.75,60.75,61.05,1468694
NCB,20150330,64,64.25,63,63.2,537999
NCB,20150329,63.75,64.75,63.25,64.32,1463231
NCB,20150326,59,63.25,59,62.78,2260290
NCB,20150325,66.5,66.5,63,63.28,2542691
NCB,20150324,66.5,67.5,66.5,66.64,836211
NCB,20150323,67.25,67.25,66,66.8,1019395
NCB,20150322,64.75,67.5,64.75,67.22,2014341
NCB,20150319,65.5,65.5,64.5,64.81,1415598
NCB,20150318,65,65.5,63.5,65.18,2256128
NCB,20150317,65.75,66.25,64.75,65.06,1103905
NCB,20150316,66.5,66.75,65.5,65.85,1755333
NCB,20150315,66.5,67.25,65.75,66.57,2066478
NCB,20150312,66.75,67,66.25,66.76,2996248
NCB,20150311,65.75,67.25,65.5,67.04,1962776
NCB,20150310,66.25,66.5,65.75,66,1280048
NCB,20150309,66.5,66.75,66,66.41,1468668
NCB,20150308,67,67,66.25,66.74,1237235
NCB,20150305,67.25,67.5,67,67.27,597470
NCB,20150304,67.5,68.25,67.25,67.26,1067019
NCB,20150303,65.75,68,65.5,67.5,4394044
NCB,20150302,66.75,66.75,65.75,66.05,930773
NCB,20150301,66.25,66.75,66,66.66,1615584
NCB,20150226,67,67,65,65.98,1485075
NCB,20150225,65.5,67,65.25,66.83,1536029
NCB,20150224,64.75,65.75,64.5,65.45,1204783
NCB,20150223,65.75,66,65,65.07,1126650
NCB,20150222,66.5,67,65.75,65.94,719750
NCB,20150219,67.25,67.25,65,66.68,2086183
NCB,20150218,68.75,69,67,67.63,1478486
NCB,20150217,67.75,69.75,67.5,68.7,6246967
NCB,20150216,68.75,69,67.25,67.49,1621588
NCB,20150215,67,69.5,64.25,69.1,10604148
NCB,20150212,64.5,66,64.25,65.72,1696589
NCB,20150211,67.25,67.75,64,64.39,2975320
NCB,20150210,67.75,69.75,67.5,67.76,5587333
NCB,20150209,67,69.25,66.25,68.61,6659646
NCB,20150208,62.75,67.5,62.5,66.44,6775208
NCB,20150205,60.25,63.75,60,63.39,7195823
NCB,20150204,60,61,59,60.57,3679729
NCB,20150203,59.75,60.25,59.5,59.88,3519957
NCB,20150202,60,60,59.5,59.96,2017330
NCB,20150201,60.5,61.25,59.75,60.03,5406128
NCB,20150129,59.25,59.5,58.75,59.26,1128479
NCB,20150128,59,60,58.5,59.75,6215282
NCB,20150127,58,59.25,57.75,58.91,3435600
NCB,20150126,58,59,57.5,57.93,3257937
NCB,20150122,57,57.75,57,57.48,1100811
NCB,20150121,56.5,57.75,56.5,57.35,2229969
NCB,20150120,56,56.75,55.5,56.5,717540
NCB,20150119,57,57.25,56,56.08,823373
NCB,20150118,57.25,57.75,57,57.18,583467
NCB,20150115,57.75,58,57.25,57.25,1609637
NCB,20150114,58.25,58.5,57.5,58.09,2539648
NCB,20150113,57,58.75,56.25,58.17,2444369
NCB,20150112,56.5,58.25,56,57.83,1547709
NCB,20150111,55.5,57,55.5,56.85,3622575
NCB,20150108,55.5,56,55.25,55.94,2261243
NCB,20150107,53.5,55,53.25,54.91,1755486
NCB,20150106,52,53.75,51.5,53.41,1893802
NCB,20150105,55,55.25,53.75,53.98,675591
NCB,20150104,55.75,56.25,55.25,55.9,1037625
NCB,20150101,55.5,56,54.75,55.98,1347881
NCB,20141231,56.25,57,52.25,54.98,3219559
NCB,20141230,57.5,57.5,56,56.26,2713562
NCB,20141229,58.25,58.75,58,58.2,2025695
NCB,20141228,58.25,59.25,58,58.7,3044341
NCB,20141225,59.25,60,59,59.18,3183018
NCB,20141224,59.25,60.5,59,59.59,6169097
NCB,20141223,59,59.5,58.75,58.83,2176540
NCB,20141222,58.5,59.75,57.75,59.65,3128998
NCB,20141221,61.25,61.75,57.5,59.17,7857835
NCB,20141218,56.75,60,56.75,59.75,11500640
NCB,20141217,51.75,55,51.75,54.64,6013813
NCB,20141216,54,54,50.5,51.38,7279339
NCB,20141215,55.75,56.75,54.5,54.84,5074905
NCB,20141214,53.75,55.75,53.5,55.39,4793519
NCB,20141211,53.25,57,53,56.53,6736752
NCB,20141210,57.25,57.75,55.25,55.68,3897664
NCB,20141209,57.5,57.75,56,57.49,3923427
NCB,20141208,59.5,59.75,58.5,58.51,2633605
NCB,20141207,59.5,60.25,59.25,59.63,2943950
NCB,20141204,60,60.25,59.75,60.05,2808979
NCB,20141203,59.5,60,59.25,59.71,2434806
NCB,20141202,60,60.5,59.25,59.5,3484549
NCB,20141201,58.5,59.75,58.5,59.57,6400380
NCB,20141130,58.25,59.5,58,58.65,6553085
NCB,20141127,61,61.75,60.75,61.38,4426094
NCB,20141126,62.25,62.5,61,61.67,6936620
NCB,20141125,61.25,63,60.5,62.42,9969767
NCB,20141124,62,62.25,61,61.49,6639977
NCB,20141123,61.75,63,61.75,62,10484822
NCB,20141120,61.25,62,61,61.23,9202789
NCB,20141119,61.5,62,59.75,60.97,22091004
NCB,20141118,65,66.5,60.75,61.46,64330935
NCB,20141117,65.25,65.25,65.25,65.25,20098365
NCB,20141116,59.5,59.5,59.5,59.5,1144274
NCB,20141113,54.25,54.25,54.25,54.25,746432
NCB,20141112,49.5,49.5,49.5,49.5,1409613
