<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
SABIC,20040921,57.5977,57.8727,57.3727,57.3727,720965
SABIC,20040920,56.9227,57.7477,56.4977,57.7477,789991
SABIC,20040919,56.9977,57.2227,56.8477,57.1477,232200
SABIC,20040918,57.4977,57.6227,56.7977,57.0727,621985
SABIC,20040916,57.8477,57.8977,57.1977,57.4227,196348
SABIC,20040915,57.6227,58.0977,57.5227,57.7227,434342
SABIC,20040914,57.4727,57.8477,57.1977,57.4977,564644
SABIC,20040913,57.9977,58.1227,56.9227,57.3727,1133082
SABIC,20040912,57.9977,58.2227,57.8227,58.0477,288867
SABIC,20040911,57.9977,58.3477,57.7977,57.8977,281109
SABIC,20040909,57.9977,58.7726,57.8977,58.0227,583824
SABIC,20040908,57.2977,57.9727,57.2977,57.8977,308096
SABIC,20040907,57.3477,57.6977,57.2977,57.4977,192891
SABIC,20040906,57.3477,58.0977,56.9977,57.5477,789597
SABIC,20040905,57.1977,57.5977,56.7727,57.5977,147698
SABIC,20040904,57.5727,57.8977,57.1977,57.1977,235326
SABIC,20040902,56.8477,57.2977,56.6727,57.2477,110214
SABIC,20040901,56.4977,57.1977,56.3727,56.8477,318836
SABIC,20040831,55.5478,56.7227,55.5478,56.4727,162399
SABIC,20040830,56.9977,56.9977,55.6978,55.9978,437159
SABIC,20040829,57.1477,57.3977,56.6977,56.9977,188988
SABIC,20040828,57.3977,57.4977,56.9977,57.1977,197382
SABIC,20040826,57.3977,57.5477,57.2977,57.4477,55238
SABIC,20040825,57.2477,57.8727,57.0977,57.6227,320613
SABIC,20040824,57.3977,57.6977,56.6727,57.3477,244402
SABIC,20040823,57.6227,57.9477,57.2977,57.3977,274301
SABIC,20040822,58.0477,58.3477,57.4227,57.7977,537401
SABIC,20040821,57.2977,58.2477,57.0227,58.0977,926683
SABIC,20040819,56.1478,57.2477,56.1478,57.0977,414146
SABIC,20040818,55.9978,56.6977,55.9978,56.4227,778006
SABIC,20040817,55.1978,55.9978,55.0978,55.9978,559011
SABIC,20040816,54.6978,55.5978,54.6978,55.3228,857887
SABIC,20040815,54.6478,54.8478,54.2228,54.7228,659899
SABIC,20040814,54.1978,54.9978,54.1478,54.5978,864333
SABIC,20040812,53.7978,54.1728,53.6729,53.9978,170922
SABIC,20040811,53.7479,53.9978,53.4979,53.7978,414966
SABIC,20040810,53.5979,54.1978,53.4979,53.9728,693581
SABIC,20040809,52.9979,53.7479,52.9979,53.4729,622321
SABIC,20040808,53.1729,53.3229,52.7729,53.0979,238402
SABIC,20040807,52.8979,53.4979,52.7479,53.2979,639800
SABIC,20040805,52.4979,52.8979,52.3479,52.6979,189367
SABIC,20040804,52.5229,52.7479,52.3979,52.4979,217152
SABIC,20040803,52.4729,52.7979,52.4229,52.5979,214979
SABIC,20040802,52.5979,52.7979,52.3479,52.6229,177371
SABIC,20040801,52.7729,52.9979,52.3979,52.4979,260966
SABIC,20040731,52.9979,53.1979,52.7479,52.7729,565214
SABIC,20040729,52.7979,53.1479,52.7979,53.0229,511571
SABIC,20040728,52.6729,53.0229,52.5979,52.8979,937294
SABIC,20040727,51.9979,52.7979,51.8729,52.6729,1201159
SABIC,20040726,51.7979,52.0229,51.7229,51.8979,325465
SABIC,20040725,51.9729,51.9729,51.7479,51.8229,279886
SABIC,20040724,51.5479,52.1729,51.4979,51.8729,707965
SABIC,20040722,51.2979,52.0979,51.198,51.5979,1018219
SABIC,20040721,50.923,51.2729,50.773,51.223,823775
SABIC,20040720,50.223,51.3979,49.823,50.998,3950514
SABIC,20040719,49.748,50.223,49.448,50.223,840902
SABIC,20040718,49.798,49.848,49.298,49.698,441065
SABIC,20040717,49.648,50.173,49.598,49.873,971791
SABIC,20040715,49.598,49.748,49.423,49.723,84069
SABIC,20040714,49.198,49.698,49.048,49.573,395119
SABIC,20040713,49.398,49.498,48.5981,49.148,561963
SABIC,20040712,49.498,49.748,49.448,49.498,212337
SABIC,20040711,49.623,49.873,49.398,49.523,274055
SABIC,20040710,49.973,49.973,49.598,49.723,166200
SABIC,20040708,49.948,50.198,49.723,49.898,357609
SABIC,20040707,49.348,49.998,49.348,49.998,1211555
SABIC,20040706,49.298,49.598,49.023,49.573,389033
SABIC,20040705,49.298,49.648,48.798,49.298,426434
SABIC,20040704,49.698,49.698,49.198,49.373,394551
SABIC,20040703,49.498,49.898,49.473,49.748,1029280
SABIC,20040701,48.5231,49.473,48.4481,49.423,1114810
SABIC,20040630,48.0481,48.7481,47.7981,48.5981,1125621
SABIC,20040629,47.8731,48.2231,47.5231,48.0231,687269
SABIC,20040628,48.5981,48.6981,47.5731,47.7231,1522142
SABIC,20040627,46.8231,48.1981,46.5981,48.0981,1501881
SABIC,20040626,47.1231,47.3481,46.6981,46.7981,476803
SABIC,20040624,46.9981,47.3231,46.9981,47.2481,233661
SABIC,20040623,46.7981,47.3981,46.7231,47.0981,1364881
SABIC,20040622,45.6982,46.7981,45.6232,46.7731,1800847
SABIC,20040621,44.6732,45.4982,44.3232,45.3982,576307
SABIC,20040620,44.0982,44.7732,44.0982,44.5982,249042
SABIC,20040619,44.5982,44.7982,43.9982,44.1482,275780
SABIC,20040617,44.6982,44.7982,44.3482,44.6482,185873
SABIC,20040616,43.6983,44.8482,43.3983,44.7732,434733
SABIC,20040615,44.7982,44.9232,43.6983,43.7483,334269
SABIC,20040614,45.0482,45.2732,44.2982,44.5232,258127
SABIC,20040613,44.9982,45.3482,44.6982,45.0982,226817
SABIC,20040612,45.4982,45.8982,45.1482,45.2482,908957
SABIC,20040610,44.6482,45.1982,44.6482,45.0982,361760
SABIC,20040609,44.2232,44.8232,44.0982,44.5982,288304
SABIC,20040608,43.3983,44.9982,43.3233,44.4232,717043
SABIC,20040607,43.5983,43.8732,42.6483,43.3983,280094
SABIC,20040606,44.4232,44.7482,42.8983,42.8983,724435
SABIC,20040605,44.8982,44.8982,44.2982,44.6732,357266
SABIC,20040603,44.4982,44.8982,44.2982,44.6482,267623
SABIC,20040602,44.1232,44.5982,43.4983,44.3482,397145
SABIC,20040601,44.9982,45.8482,44.4982,44.4982,932065
SABIC,20040531,44.9982,45.4982,44.2982,45.1982,976146
SABIC,20040530,45.2982,46.3981,43.9982,45.4982,2009011
SABIC,20040529,42.2233,46.2981,41.2733,45.8982,2375915
SABIC,20040527,42.9983,43.2983,40.7984,42.2233,558516
SABIC,20040526,44.6982,45.2732,42.8983,42.9983,579677
SABIC,20040525,45.3982,45.9982,43.9982,44.9982,881557
SABIC,20040524,44.6982,45.4982,43.3983,43.4983,646123
SABIC,20040523,46.6981,46.6981,44.7982,44.8232,731921
SABIC,20040522,46.9981,47.2981,45.8982,46.6981,501047
SABIC,20040520,44.3482,47.2981,44.2982,46.7981,667734
SABIC,20040519,46.8981,47.1981,44.6982,44.7982,1141285
SABIC,20040518,46.9981,49.498,46.4981,46.9981,3847545
SABIC,20040517,47.4481,47.5481,46.8981,47.4981,1062578
SABIC,20040516,47.3981,47.6981,47.1981,47.3731,1245824
SABIC,20040515,46.6981,47.3981,46.3981,46.9981,1158346
SABIC,20040513,46.3481,46.6981,46.2731,46.3481,265417
SABIC,20040512,46.4481,46.6981,46.1482,46.3981,550857
SABIC,20040511,46.5231,47.0981,45.8982,46.1482,1302877
SABIC,20040510,46.9231,47.5231,46.7981,46.9981,1180905
SABIC,20040509,47.0481,47.3231,46.8231,47.1231,620661
SABIC,20040508,46.8981,47.4731,46.8981,47.1231,1666529
SABIC,20040506,46.0982,46.5731,46.0482,46.5731,259050
SABIC,20040505,45.6232,46.7981,45.6232,46.2482,1225393
SABIC,20040504,45.5982,46.0982,44.8982,45.3482,1052336
SABIC,20040503,45.5732,46.0982,45.5732,45.8232,920061
SABIC,20040502,45.2732,45.8982,45.0982,45.4482,755333
SABIC,20040501,45.6232,45.6232,45.2482,45.4232,295794
SABIC,20040429,45.4232,45.8982,45.3982,45.4982,241859
SABIC,20040428,44.4982,45.7482,44.4482,45.6982,478165
SABIC,20040427,44.8982,44.8982,44.2982,44.6232,203840
SABIC,20040426,45.0482,45.1482,44.7732,44.7732,334188
SABIC,20040425,44.7482,45.5982,44.6982,45.0482,703523
SABIC,20040424,46.6731,46.8731,44.8482,45.0482,869824
SABIC,20040422,45.8482,46.7981,45.7982,46.5981,597984
SABIC,20040421,47.4481,47.5231,44.5232,45.7982,1397612
SABIC,20040420,47.0731,47.4481,46.8481,47.2981,764693
SABIC,20040419,46.5731,47.4231,46.4981,47.3481,770170
SABIC,20040418,46.4981,46.8981,46.1982,46.4481,551568
SABIC,20040417,46.9231,47.7731,46.8981,47.6731,1146811
SABIC,20040415,46.8731,47.1981,46.4981,46.7981,344636
SABIC,20040414,46.3481,46.9481,46.1982,46.8231,441557
SABIC,20040413,46.7981,46.7981,46.0482,46.5981,570844
SABIC,20040412,46.3981,47.0981,46.2981,46.7981,1178839
SABIC,20040411,45.9232,46.2981,45.7982,46.2981,357004
SABIC,20040410,45.9482,46.2482,45.7732,45.9982,382008
SABIC,20040408,45.6732,46.0732,45.6232,46.0482,211540
SABIC,20040407,45.9982,46.2232,45.2232,45.6982,557371
SABIC,20040406,46.1232,46.4731,45.8982,45.9982,795065
SABIC,20040405,45.7982,46.2731,45.7982,46.0982,395928
SABIC,20040404,45.4982,46.1982,45.1982,45.7732,623895
SABIC,20040403,45.4982,45.9982,45.4482,45.6732,533683
SABIC,20040401,45.0982,45.7732,44.8232,45.6732,629728
SABIC,20040331,43.9482,45.3982,43.8732,44.9982,1239818
SABIC,20040330,43.9732,44.0482,43.6233,43.9482,337875
SABIC,20040329,43.7483,43.9982,43.5483,43.7982,495301
SABIC,20040328,43.9732,44.0982,43.2983,43.5983,961816
SABIC,20040327,43.8482,44.3982,43.2983,44.1982,1008878
SABIC,20040325,43.5233,44.1982,43.5233,43.8982,689133
SABIC,20040324,42.4983,43.6483,42.0983,43.5983,1131225
SABIC,20040323,42.2983,42.9233,42.1733,42.5483,1024844
SABIC,20040322,40.2984,42.4983,40.2984,42.4983,2850549
SABIC,20040321,39.5234,40.1734,39.5234,40.1734,713842
SABIC,20040320,39.6984,39.8234,39.4234,39.5234,436958
SABIC,20040318,39.3484,39.8734,39.2484,39.7734,508134
SABIC,20040317,39.1484,39.3984,38.9484,39.3484,846210
SABIC,20040316,39.2484,39.5484,39.1484,39.1984,889523
SABIC,20040315,40.2984,41.2484,39.0234,39.3734,2740279
SABIC,20040314,40.3984,40.4734,39.7984,40.0484,681098
SABIC,20040313,39.9734,40.6734,39.8984,40.2734,1173254
SABIC,20040311,40.0984,40.0984,39.8484,39.9484,93251
SABIC,20040310,40.0484,40.3234,39.8984,39.9984,478683
SABIC,20040309,40.0484,40.2484,39.9484,40.1234,306545
SABIC,20040308,39.8734,40.3984,39.7984,40.1984,1107376
SABIC,20040307,39.8984,40.0234,39.8234,39.8984,303470
SABIC,20040306,39.8484,40.0984,39.8234,39.8984,313504
SABIC,20040304,39.7984,40.0484,39.6484,39.9234,229996
SABIC,20040303,39.8734,40.1734,39.4984,39.7984,1092805
SABIC,20040302,39.3984,40.0984,39.2234,39.9734,1711910
SABIC,20040301,39.5484,39.5484,39.1234,39.5234,992376
SABIC,20040229,38.5485,39.3984,38.4735,39.2734,1539668
SABIC,20040228,38.1985,38.6985,38.0485,38.5235,992933
SABIC,20040226,37.4985,38.1485,37.4235,37.8985,883176
SABIC,20040225,37.1235,37.6985,36.9985,37.4985,953905
SABIC,20040224,36.7485,37.3735,36.7235,37.1485,594435
SABIC,20040223,37.3235,37.3985,36.6985,36.8735,799376
SABIC,20040222,36.4235,38.1735,36.4235,37.3985,4003375
SABIC,20040221,35.9986,36.4735,35.9986,36.2985,929202
SABIC,20040219,35.3736,35.9986,35.2736,35.9986,879860
SABIC,20040218,35.3486,35.4986,35.1486,35.3736,846522
SABIC,20040217,34.8736,35.4986,34.7736,35.3736,1757961
SABIC,20040216,34.5236,34.9486,34.4986,34.8736,1132070
SABIC,20040215,34.3986,34.6486,34.3236,34.5986,281217
SABIC,20040214,34.5986,34.6486,34.3236,34.4736,325921
SABIC,20040212,34.6486,34.7236,34.4986,34.5486,150345
SABIC,20040211,34.6486,34.8236,34.5736,34.6986,380115
SABIC,20040210,34.4986,34.7486,34.4236,34.7486,355521
SABIC,20040209,34.2986,34.5236,34.1236,34.4236,391862
SABIC,20040208,34.4486,34.5736,34.2236,34.3736,312976
SABIC,20040207,34.9736,34.9736,34.1986,34.3986,414632
SABIC,20040128,34.6986,34.9986,34.5986,34.9486,1668695
SABIC,20040127,34.2986,34.8486,34.1986,34.6236,4015011
SABIC,20040126,33.2487,33.3737,33.0737,33.1987,319932
SABIC,20040125,33.1487,33.4737,33.0237,33.1987,788947
SABIC,20040124,33.1987,33.2987,33.0487,33.2237,241299
SABIC,20040122,33.2237,33.3487,33.0987,33.2737,145852
SABIC,20040121,33.2987,33.4737,33.0987,33.3237,452399
SABIC,20040120,32.8987,33.4237,32.7987,33.3237,728310
SABIC,20040119,32.9987,33.1237,32.8737,32.9987,121479
SABIC,20040118,33.0987,33.2487,32.8487,33.0987,305517
SABIC,20040117,33.1237,33.4237,33.1237,33.1237,564919
SABIC,20040115,32.8737,33.2237,32.7987,33.1987,210299
